  'fps_camera3': '4',
  'fps_camera4': '4',
  'lazy_threshold': 0.9,
  'model_size_camera1': 'yolov5m.pt',
  'model_size_camera2': 'yolov5m.pt',
  'model_size_camera3': 'yolov5m.pt',
  'model_size_camera4': 'yolov5m.pt',
  'resolution_camera1': '1280',
  'resolution_camera2': '1280',
  'resolution_camera3': '1280',
  'resolution_camera4': '1280',
})

[2024-03-13 18:33:24,273][0][WARNING][history.py:242] Duplicate configuration detected!
[2024-03-13 18:33:24,274][0][INFO][generic_smbo.py:295] Iter 3, objectives: [0.2537572765718038, 0.2674519587887658].
[2024-03-13 19:24:18,817][0][INFO][generic_smbo.py:295] Iter 4, objectives: [0.2537572765718038, 0.19320344186491437].
[2024-03-13 19:24:18,818][0][WARNING][generic_smbo.py:253] Evaluating duplicated configuration: Configuration(values={
  'fps_camera1': '4',
  'fps_camera2': '4',
  'fps_camera3': '4',
  'fps_camera4': '4',
  'lazy_threshold': 0.9,
  'model_size_camera1': 'yolov5m.pt',
  'model_size_camera2': 'yolov5m.pt',
  'model_size_camera3': 'yolov5m.pt',
  'model_size_camera4': 'yolov5m.pt',
  'resolution_camera1': '1280',
  'resolution_camera2': '1280',
  'resolution_camera3': '1280',
  'resolution_camera4': '1280',
})

[2024-03-13 20:25:27,962][0][WARNING][history.py:242] Duplicate configuration detected!
[2024-03-13 20:25:27,963][0][INFO][generic_smbo.py:295] Iter 5, objectives: [0.2537572765718038, 0.27337593727641635].
[2024-03-13 20:25:27,964][0][WARNING][generic_smbo.py:253] Evaluating duplicated configuration: Configuration(values={
  'fps_camera1': '4',
  'fps_camera2': '4',
  'fps_camera3': '4',
  'fps_camera4': '4',
  'lazy_threshold': 0.9,
  'model_size_camera1': 'yolov5m.pt',
  'model_size_camera2': 'yolov5m.pt',
  'model_size_camera3': 'yolov5m.pt',
  'model_size_camera4': 'yolov5m.pt',
  'resolution_camera1': '1280',
  'resolution_camera2': '1280',
  'resolution_camera3': '1280',
  'resolution_camera4': '1280',
})

[2024-03-13 21:24:45,869][0][WARNING][history.py:242] Duplicate configuration detected!
[2024-03-13 21:24:45,870][0][INFO][generic_smbo.py:295] Iter 6, objectives: [0.2537572765718038, 0.2570854133698675].
[2024-03-13 21:24:45,872][0][WARNING][generic_smbo.py:253] Evaluating duplicated configuration: Configuration(values={
  'fps_camera1': '4',
  'fps_camera2': '4',
  'fps_camera3': '4',
  'fps_camera4': '4',
  'lazy_threshold': 0.5,
  'model_size_camera1': 'yolov5m.pt',
